purchase_date,checkout_instances,cat_electronics,cat_home,cat_clothing,cat_books,avg_revenue_per_unit,units_sold,revenue,credit_instances,crypto_instances,paypal_instances,cash_instances,total_returns,churned,retained
2022-06-06,182,29,35,65,53,263.0054945054945,542,529179,78,20,52,32,82.000000000000000000,40,142
2022-11-21,166,24,44,44,54,249.87951807228916,547,461607,65,17,59,25,69.000000000000000000,42,124
2020-03-07,183,38,41,56,48,248.4153005464481,552,462904,75,18,53,37,65.000000000000000000,37,146
2022-07-07,183,35,42,53,53,254.86338797814207,575,528598,69,14,55,45,70.000000000000000000,34,149
2021-07-23,192,35,39,51,67,285.6197916666667,560,535100,78,16,53,45,70.000000000000000000,46,146
2020-02-04,207,49,37,58,63,259.0869565217391,624,564413,80,21,58,48,71.000000000000000000,44,163
2021-04-24,188,37,41,59,51,269.32978723404256,569,514827,72,19,56,41,71.000000000000000000,40,148
2020-02-15,177,33,33,65,46,251.090395480226,520,451889,64,23,53,37,73.000000000000000000,31,146
2021-09-11,180,35,40,48,57,244.87222222222223,528,527382,66,15,64,35,80.000000000000000000,27,153
2022-12-09,181,44,29,44,64,251.8232044198895,545,476285,80,12,51,38,83.000000000000000000,33,148
2021-02-15,218,56,40,63,59,259.151376146789,649,587957,84,26,58,50,85.000000000000000000,44,174
2020-05-23,180,34,43,46,57,255.0888888888889,536,497709,67,21,55,37,84.000000000000000000,33,147
2022-03-12,200,37,40,66,57,248.085,631,535070,72,21,62,45,81.000000000000000000,37,163
2023-03-12,179,40,35,46,58,262.9441340782123,542,470459,65,14,59,41,62.000000000000000000,21,158
2022-04-10,173,42,38,45,48,268.2369942196532,549,455560,77,18,46,32,64.000000000000000000,44,129
2021-12-05,196,43,40,57,56,272.7959183673469,584,543356,86,13,68,29,70.000000000000000000,35,161
2022-04-02,188,39,40,64,45,256.22872340425533,586,497023,89,21,44,34,86.000000000000000000,51,137
2022-03-15,168,35,31,42,60,280.8690476190476,497,449542,73,12,50,33,65.000000000000000000,24,144
2023-03-24,211,40,50,59,62,247.85308056872037,683,571597,79,24,60,48,91.000000000000000000,42,169
2022-12-02,181,29,29,65,58,258.17127071823205,544,460516,75,20,49,37,78.000000000000000000,24,157
2023-01-01,172,34,33,57,48,232.9418604651163,526,495267,69,17,50,36,74.000000000000000000,33,139
2020-02-12,193,24,43,62,64,263.0259067357513,607,572987,85,16,48,44,90.000000000000000000,46,147
2021-03-22,192,43,31,64,54,260.0208333333333,538,465663,82,18,61,31,86.000000000000000000,38,154
2022-02-25,218,46,37,72,63,239.24311926605503,666,596007,84,20,66,48,88.000000000000000000,44,174
2023-07-29,196,38,36,59,63,230.6377551020408,590,503458,85,17,51,43,74.000000000000000000,44,152
2021-05-03,174,38,31,54,51,239.2816091954023,543,493467,78,12,55,29,73.000000000000000000,29,145
2022-12-20,178,41,25,55,57,266.1011235955056,515,489663,67,18,59,34,76.000000000000000000,32,146
2022-10-19,156,25,29,51,51,242.50641025641025,458,460325,58,13,41,44,58.000000000000000000,19,137
2020-12-17,222,34,56,67,65,264.0810810810811,659,607462,91,20,74,37,90.000000000000000000,55,167
2021-08-21,160,28,35,54,43,263.75625,477,444306,68,11,47,34,56.000000000000000000,26,134
2021-10-08,183,41,25,57,60,260.46448087431696,535,491787,72,17,65,29,59.000000000000000000,35,148
2021-01-18,184,40,39,48,57,271.17391304347825,552,499191,82,16,47,39,71.000000000000000000,27,157
2021-01-25,199,30,44,64,61,247.18090452261308,594,554137,86,21,57,35,84.000000000000000000,41,158
2023-05-03,193,38,37,66,52,236.61139896373058,581,520780,71,28,60,34,91.000000000000000000,42,151
2023-06-24,172,25,34,57,56,263.29651162790697,516,516006,83,16,37,36,53.000000000000000000,31,141
2021-07-19,164,39,35,43,47,251.8719512195122,514,478959,69,11,64,20,63.000000000000000000,32,132
2022-08-20,175,32,30,52,61,256.54285714285714,538,517493,74,13,61,27,75.000000000000000000,36,139
2021-02-02,188,43,40,52,53,270.8563829787234,557,505282,70,26,57,35,71.000000000000000000,36,152
2022-02-16,181,36,34,54,57,241.939226519337,540,502064,61,10,66,44,81.000000000000000000,37,144
2022-08-11,210,34,44,74,58,242.4904761904762,606,592042,88,16,64,42,80.000000000000000000,50,160
2021-07-10,191,38,29,65,59,251.3193717277487,545,535801,76,20,53,42,71.000000000000000000,43,148
2023-09-03,198,36,33,65,64,248.22222222222223,589,578018,88,23,54,33,86.000000000000000000,33,165
2020-09-07,187,36,39,60,52,264.2994652406417,545,492320,62,17,53,55,75.000000000000000000,42,145
2020-05-08,190,35,39,57,59,250.57368421052632,610,515916,79,16,59,36,87.000000000000000000,44,146
2022-09-29,173,29,35,64,45,251.34682080924856,502,456397,75,17,41,40,65.000000000000000000,23,150
2022-05-01,167,46,37,46,38,262.77245508982037,483,467588,61,12,58,36,64.000000000000000000,27,140
2022-11-20,187,35,44,48,60,259.27272727272725,569,490449,90,14,47,36,70.000000000000000000,45,142
2021-04-25,163,37,40,42,44,246.67484662576686,489,418249,80,10,47,26,69.000000000000000000,42,121
2021-11-11,166,35,25,53,53,240.5,520,481294,57,15,52,42,68.000000000000000000,33,133
2021-06-04,198,46,49,52,51,257.26262626262627,598,516704,77,22,59,40,80.000000000000000000,37,161
2023-08-28,181,41,42,46,52,255.5745856353591,519,492854,68,20,58,35,77.000000000000000000,34,147
2021-09-25,169,41,37,41,50,249.33727810650888,494,462787,63,15,55,36,58.000000000000000000,30,139
2023-05-16,188,34,40,57,57,238.95212765957447,575,528681,65,26,54,43,71.000000000000000000,36,152
2020-01-17,203,45,37,72,49,243.30541871921181,613,537603,87,11,62,43,78.000000000000000000,39,164
2021-03-07,180,32,42,50,56,256.7611111111111,528,489787,79,15,54,32,78.000000000000000000,35,145
2023-07-18,190,36,45,56,53,251.27894736842106,557,546186,70,22,55,43,74.000000000000000000,42,148
2020-06-04,175,37,39,50,49,250.13142857142856,524,468970,62,22,45,46,65.000000000000000000,25,150
2021-09-05,172,38,44,46,44,272.0813953488372,526,464449,70,25,46,31,73.000000000000000000,32,140
2023-08-10,182,33,37,59,53,259.2912087912088,560,491298,68,20,54,40,67.000000000000000000,36,146
2022-01-09,175,36,35,50,54,265.88,518,509860,81,17,42,35,67.000000000000000000,29,146
2022-01-15,167,42,29,46,50,244.05389221556885,490,451629,54,26,49,38,65.000000000000000000,32,135
2020-05-24,185,29,40,70,46,253.36756756756756,518,474385,74,22,54,35,82.000000000000000000,41,144
2021-07-13,162,30,38,59,35,250.64814814814815,513,420206,76,19,41,26,65.000000000000000000,25,137
2023-06-01,160,36,29,49,46,244.625,447,441584,64,18,52,26,64.000000000000000000,30,130
2022-12-11,155,43,28,41,43,256.73548387096776,443,430212,63,16,48,28,73.000000000000000000,38,117
2020-10-18,209,45,42,67,55,270.8038277511962,626,580796,86,17,66,40,90.000000000000000000,42,167
2022-04-27,167,35,34,50,48,259.1976047904192,500,468405,69,21,48,29,64.000000000000000000,32,135
2022-03-22,211,43,40,59,69,255.02843601895734,604,570449,80,35,57,39,86.000000000000000000,49,162
2022-09-07,160,41,36,42,41,257.50625,490,440217,54,17,53,36,62.000000000000000000,27,133
2020-12-25,185,34,31,59,61,240.53513513513514,561,501405,64,19,60,42,78.000000000000000000,34,151
2020-04-29,164,32,28,49,55,247.79268292682926,517,441625,73,19,46,26,69.000000000000000000,43,121
2022-09-06,196,42,35,55,64,227.1173469387755,600,531636,85,21,57,33,91.000000000000000000,40,156
2021-11-01,190,47,32,59,52,271.12631578947367,577,508143,58,23,68,41,67.000000000000000000,41,149
2022-12-12,168,39,24,54,51,254.13690476190476,529,469791,59,13,54,42,73.000000000000000000,26,142
2022-05-07,209,41,42,76,50,261.74162679425837,623,555704,87,21,63,38,74.000000000000000000,46,163
2022-05-23,173,27,30,55,61,247.22543352601156,511,468873,64,19,40,50,63.000000000000000000,37,136
2022-02-01,174,39,46,44,45,248.48275862068965,541,480950,61,17,61,35,64.000000000000000000,36,138
2022-07-05,205,44,40,67,54,263.6341463414634,603,534589,74,24,60,47,84.000000000000000000,51,154
2021-09-09,199,49,49,55,46,270.63819095477385,592,574630,75,20,59,45,75.000000000000000000,41,158
2023-04-29,206,38,30,62,76,274.05825242718447,597,544915,95,18,56,37,83.000000000000000000,50,156
2023-03-04,164,31,28,49,56,260.640243902439,504,423923,66,15,50,33,61.000000000000000000,30,134
2022-08-15,198,35,49,64,50,237.90404040404042,618,561261,85,17,56,40,74.000000000000000000,32,166
2021-05-29,176,31,24,70,51,265.6818181818182,530,468060,63,28,52,33,61.000000000000000000,36,140
2022-12-28,188,52,40,57,39,241.03191489361703,585,506683,75,18,57,38,71.000000000000000000,42,146
2021-07-11,181,31,35,66,49,246.16022099447514,497,476049,68,18,63,32,83.000000000000000000,36,145
2020-10-19,170,30,47,45,48,251.74705882352941,513,417361,77,18,41,34,65.000000000000000000,31,139
2021-05-07,174,28,31,60,55,258.3045977011494,543,462815,75,12,60,27,64.000000000000000000,28,146
2022-04-12,182,28,41,52,61,262.53846153846155,570,441653,80,13,59,30,79.000000000000000000,35,147
2020-05-10,185,37,35,57,56,274.35135135135135,534,495485,72,17,56,40,75.000000000000000000,45,140
2020-12-22,195,33,35,59,68,253.44102564102565,567,551632,72,23,60,40,78.000000000000000000,37,158
2023-07-04,173,37,44,50,42,241.16763005780348,503,437085,78,13,55,27,79.000000000000000000,35,138
2020-04-26,205,30,46,66,63,256.47317073170734,602,562966,80,21,68,36,88.000000000000000000,43,162
2020-01-25,162,31,32,46,53,256.0925925925926,472,446660,68,15,47,32,65.000000000000000000,32,130
2021-04-21,179,38,33,60,48,259.47486033519556,552,491784,71,21,58,29,74.000000000000000000,33,146
2020-12-30,197,43,40,52,62,259.39086294416245,594,560611,84,22,56,35,74.000000000000000000,40,157
2020-08-22,184,35,35,62,52,258.05434782608694,555,503681,76,15,50,43,78.000000000000000000,45,139
2022-06-02,208,39,44,56,69,264.33653846153845,620,537762,90,17,60,41,88.000000000000000000,42,166
2021-09-06,181,33,37,63,48,255.20994475138122,544,473665,63,20,52,46,78.000000000000000000,39,142
2022-06-05,193,33,33,66,61,251.94818652849742,593,527922,69,25,58,41,75.000000000000000000,36,157
2021-11-17,175,38,33,42,62,269.0571428571429,538,501934,65,12,62,36,70.000000000000000000,39,136
2022-01-18,205,40,47,52,66,249.3658536585366,582,590039,79,17,74,35,77.000000000000000000,44,161
2020-04-21,175,26,37,58,54,248.72,512,466449,63,29,56,27,79.000000000000000000,24,151
2021-12-14,177,31,38,60,48,251.70621468926555,501,492225,79,26,39,33,63.000000000000000000,38,139
2022-08-03,192,38,29,66,59,257.046875,583,497929,72,23,53,44,80.000000000000000000,36,156
2021-06-20,187,36,32,60,59,255.88235294117646,560,489832,76,18,59,34,84.000000000000000000,42,145
2020-11-06,190,40,27,58,65,256.11578947368423,576,528409,75,17,61,37,82.000000000000000000,45,145
2021-06-27,178,37,30,51,60,255.25842696629215,555,468569,76,18,51,33,80.000000000000000000,28,150
2022-12-19,206,44,44,59,59,263.9271844660194,639,580971,90,17,66,33,93.000000000000000000,37,169
2020-07-05,179,33,34,57,55,248.05027932960894,531,477861,64,24,57,34,67.000000000000000000,34,145
2020-12-13,165,32,37,44,52,260.1333333333333,510,433352,73,14,44,34,65.000000000000000000,39,126
2022-03-19,166,40,33,47,46,241.5722891566265,492,455842,68,14,47,37,69.000000000000000000,30,136
2021-08-25,196,38,37,58,63,272.2448979591837,570,518903,81,30,53,32,84.000000000000000000,38,158
2022-12-29,173,39,26,59,49,267.26011560693644,490,475078,69,14,57,33,72.000000000000000000,34,139
2023-08-03,149,20,38,46,45,264.30872483221475,449,369069,51,21,37,40,61.000000000000000000,36,113
2021-07-08,159,37,29,53,40,250.28930817610063,486,444622,65,18,47,29,68.000000000000000000,42,117
2020-03-09,187,42,29,70,46,254.62032085561498,561,539134,79,16,48,44,90.000000000000000000,48,139
2021-12-27,197,44,46,55,52,261.1319796954315,617,510228,84,25,57,31,77.000000000000000000,38,159
2021-11-23,186,21,51,61,53,264.80645161290323,571,526348,78,17,52,39,68.000000000000000000,35,151
2020-03-10,178,40,32,58,48,265.6741573033708,530,472389,70,19,57,32,82.000000000000000000,30,148
2021-06-28,197,32,46,57,62,247.98477157360406,606,534943,72,18,67,40,73.000000000000000000,32,165
2022-08-07,168,37,32,44,55,257.2916666666667,494,459664,55,19,61,33,61.000000000000000000,38,130
2020-10-05,159,36,42,48,33,244.9308176100629,479,446666,52,19,49,39,56.000000000000000000,31,128
2021-02-26,195,41,48,43,63,255.23076923076923,581,556660,78,25,60,32,76.000000000000000000,42,153
2022-01-10,181,37,34,60,50,246.9060773480663,559,496588,66,29,47,39,67.000000000000000000,35,146
2020-03-11,173,36,28,54,55,252.98265895953756,532,489098,68,19,47,39,63.000000000000000000,28,145
2022-07-15,157,37,32,48,40,254.25477707006368,461,425014,59,21,47,30,66.000000000000000000,30,127
2021-09-26,148,36,30,40,42,265.88513513513516,447,402948,57,18,52,21,59.000000000000000000,26,122
2022-08-08,187,39,29,58,61,269.903743315508,555,484178,76,16,55,40,74.000000000000000000,40,147
2023-02-16,196,46,24,67,59,265.34183673469386,587,549064,75,26,64,31,76.000000000000000000,35,161
2022-04-18,176,34,41,45,56,259.875,575,467933,75,14,54,33,58.000000000000000000,32,144
2022-05-24,175,32,28,64,51,261.48,556,471662,72,20,46,37,64.000000000000000000,30,145
2021-09-13,187,38,37,58,54,253.27272727272728,555,500507,78,17,50,42,76.000000000000000000,46,141
2023-07-31,173,25,38,57,53,258.76878612716763,539,476784,69,19,51,34,69.000000000000000000,36,137
2022-07-29,200,34,38,62,66,251.51,596,586998,81,17,48,54,69.000000000000000000,33,167
2021-06-01,186,39,30,57,60,241.51612903225808,538,484091,66,20,64,36,69.000000000000000000,34,152
2022-06-29,162,34,26,37,65,244.06172839506172,484,448921,61,13,55,33,69.000000000000000000,40,122
2022-10-11,181,31,39,59,52,258.43093922651934,529,515485,83,15,58,25,70.000000000000000000,48,133
2023-01-02,186,36,36,61,53,271.55913978494624,561,510454,76,20,51,39,72.000000000000000000,31,155
2020-04-19,180,37,30,55,58,234.12222222222223,550,501290,64,19,50,47,70.000000000000000000,36,144
2023-08-20,201,50,37,55,59,260.48258706467664,596,574742,73,19,64,45,81.000000000000000000,42,159
2020-06-05,181,28,36,64,53,252.40331491712706,575,460494,69,17,59,36,67.000000000000000000,35,146
2021-04-07,185,35,44,62,44,259.76216216216216,561,488335,74,18,54,39,79.000000000000000000,36,149
2023-08-06,196,24,33,67,72,260.17857142857144,552,499806,75,21,61,39,77.000000000000000000,49,147
2022-01-08,182,51,24,58,49,256.8131868131868,528,483387,65,21,54,42,66.000000000000000000,37,145
2020-08-04,194,51,36,60,47,247.79381443298968,602,542480,82,15,55,42,78.000000000000000000,36,158
2023-05-09,195,34,57,53,51,260.38461538461536,571,534990,76,19,60,40,82.000000000000000000,30,165
2020-09-04,198,42,40,49,67,258.949494949495,583,566317,82,18,60,38,74.000000000000000000,43,155
2022-09-20,184,45,30,57,52,254.20108695652175,545,504513,82,21,49,32,77.000000000000000000,36,148
2021-08-23,174,39,35,48,52,253.02298850574712,562,477353,78,17,50,29,62.000000000000000000,32,142
2021-05-21,171,25,37,54,55,256.4502923976608,521,472413,59,18,60,34,76.000000000000000000,44,127
2021-04-15,176,36,39,55,46,261.72159090909093,525,454160,82,19,43,32,81.000000000000000000,39,137
2022-04-09,165,35,26,54,50,251.85454545454544,522,480557,71,16,51,27,76.000000000000000000,41,124
2022-11-01,188,38,34,64,52,254.16489361702128,573,491786,73,21,55,39,73.000000000000000000,42,146
2022-01-24,199,42,42,64,51,252.4321608040201,598,538642,86,23,48,42,82.000000000000000000,33,166
2021-12-10,165,29,38,61,37,265.54545454545456,466,464896,70,14,45,36,75.000000000000000000,34,131
2022-04-06,183,36,30,50,67,256.8360655737705,557,474871,72,18,54,39,73.000000000000000000,31,152
2022-06-28,188,48,43,48,49,242.96808510638297,575,494812,80,14,55,39,80.000000000000000000,35,153
2020-06-17,178,38,41,47,52,264.8314606741573,535,474827,72,26,47,33,72.000000000000000000,30,148
2020-02-11,185,45,45,46,49,271.7837837837838,538,512705,72,20,49,44,75.000000000000000000,30,155
2020-07-02,182,33,33,65,51,242.2967032967033,537,497009,68,22,60,32,78.000000000000000000,27,155
2022-05-06,174,31,40,54,49,235.92528735632183,493,462286,74,14,51,35,67.000000000000000000,40,134
2022-07-24,181,38,35,60,48,260.03314917127074,565,495225,70,20,55,36,70.000000000000000000,46,135
2023-05-30,194,40,33,66,55,253.40721649484536,605,525579,79,13,60,42,84.000000000000000000,39,155
2020-04-13,175,32,38,56,49,272.6514285714286,526,480157,68,18,53,36,70.000000000000000000,27,148
2022-06-19,185,43,35,55,52,254.7945945945946,535,531828,75,13,60,37,75.000000000000000000,39,146
2022-04-21,187,40,40,51,56,261.19251336898395,551,535018,76,21,56,34,69.000000000000000000,39,148
2023-05-19,174,42,36,52,44,260.45402298850576,527,464258,58,24,51,41,74.000000000000000000,33,141
2021-10-20,193,43,37,64,49,260.48704663212436,600,516258,79,18,54,42,69.000000000000000000,34,159
2020-08-09,193,36,44,52,61,256.44559585492226,533,503200,74,11,63,45,77.000000000000000000,46,147
2023-05-20,171,37,26,56,52,256.60818713450294,502,468035,65,17,52,37,62.000000000000000000,29,142
2020-06-12,177,34,33,56,54,268.52542372881356,534,461911,70,20,50,37,69.000000000000000000,38,139
2020-10-29,176,39,33,51,53,250.1534090909091,492,471483,76,8,59,33,79.000000000000000000,46,130
2023-06-07,183,51,26,59,47,243.19672131147541,555,508044,72,18,53,40,65.000000000000000000,35,148
2022-01-23,201,41,41,53,66,244.44278606965173,603,506799,83,20,52,46,76.000000000000000000,41,160
2023-04-12,200,40,41,61,58,256.3,570,596723,77,23,60,40,87.000000000000000000,52,148
2020-05-17,162,36,32,41,53,266.9753086419753,438,446847,73,18,46,25,61.000000000000000000,37,125
2023-04-21,177,25,33,59,60,275.06779661016947,525,478951,84,16,48,29,81.000000000000000000,33,144
2020-06-25,183,46,28,57,52,250.59562841530055,514,480863,66,11,61,45,72.000000000000000000,35,148
2021-12-04,160,40,35,44,41,251.225,472,444894,65,19,41,35,70.000000000000000000,27,133
2021-12-12,172,31,32,58,51,251.15697674418604,516,464767,72,16,55,29,68.000000000000000000,36,136
2023-06-12,187,37,50,55,45,250.3475935828877,557,512903,71,16,68,32,92.000000000000000000,37,150
2021-09-30,210,37,35,65,73,247.93809523809523,624,539623,91,22,64,33,84.000000000000000000,31,179
2022-12-08,210,45,40,60,65,252.45238095238096,643,558439,75,23,73,39,91.000000000000000000,40,170
2022-08-14,214,45,34,73,62,248.64018691588785,649,555880,79,19,66,50,104.000000000000000000,45,169
2020-12-23,191,46,34,58,53,263.21465968586386,573,515230,72,24,65,30,67.000000000000000000,36,155
2021-05-09,174,36,39,56,43,263.36206896551727,512,488898,84,21,48,21,73.000000000000000000,22,152
2021-06-17,180,44,34,45,57,251.2277777777778,494,491235,68,21,51,40,75.000000000000000000,34,146
2021-12-08,192,44,40,53,55,250.31770833333334,549,516179,78,22,55,37,69.000000000000000000,40,152
2023-06-21,208,30,41,65,72,258.52403846153845,673,576243,85,18,70,35,86.000000000000000000,43,165
2021-11-16,177,36,39,54,48,257.10169491525426,514,457346,74,18,53,32,75.000000000000000000,38,139
2023-01-28,194,32,28,61,73,252.34536082474227,569,529249,73,16,54,51,78.000000000000000000,42,152
2020-12-21,194,37,43,60,54,253.3659793814433,575,525893,73,22,59,40,87.000000000000000000,43,151
2021-08-12,164,35,28,62,39,247.1158536585366,488,457867,71,12,57,24,77.000000000000000000,43,121
2021-01-05,154,36,34,41,43,262.16883116883116,483,423758,54,18,48,34,64.000000000000000000,34,120
2022-07-10,185,40,44,43,58,262.9513513513514,561,522810,81,18,51,35,70.000000000000000000,46,139
2022-08-12,165,22,34,55,54,250.3272727272727,473,428516,61,20,56,28,67.000000000000000000,26,139
2021-05-31,190,29,41,65,55,264.5263157894737,584,495682,84,12,50,44,83.000000000000000000,49,141
2023-04-01,180,39,35,56,50,243.82777777777778,527,463901,72,18,54,36,71.000000000000000000,35,145
2022-03-11,173,31,38,47,57,250.121387283237,515,495084,75,14,50,34,64.000000000000000000,34,139
2022-07-16,161,36,33,47,45,281.4099378881988,501,402781,67,18,42,34,60.000000000000000000,32,129
2022-02-15,174,30,40,58,46,257.64942528735634,530,528047,74,18,45,37,73.000000000000000000,34,140
2020-08-26,196,38,39,42,77,270.6173469387755,612,570518,75,19,61,41,70.000000000000000000,44,152
2022-01-16,206,32,49,65,60,249.64563106796118,591,561391,76,18,67,45,96.000000000000000000,46,160
2022-12-06,181,34,31,58,58,268.97237569060775,537,484774,75,13,53,40,67.000000000000000000,37,144
2023-01-11,175,41,34,45,55,253.81714285714287,529,470192,75,16,42,42,69.000000000000000000,30,145
2021-08-24,178,40,32,55,51,246.48876404494382,511,495098,68,18,61,31,70.000000000000000000,36,142
2020-07-03,187,39,35,56,57,262.096256684492,543,517505,68,19,60,40,78.000000000000000000,39,148
2020-12-12,197,35,43,56,63,235.7055837563452,578,565938,77,12,64,44,85.000000000000000000,30,167
2021-04-23,184,33,33,58,60,260.8804347826087,544,543330,85,20,41,38,75.000000000000000000,49,135
2020-02-25,155,25,42,39,49,263.72903225806454,449,377441,59,13,53,30,50.000000000000000000,38,117
2020-03-29,165,32,33,45,55,247.88484848484848,477,449297,66,13,57,29,64.000000000000000000,35,130
2023-07-19,176,34,39,45,58,257.60227272727275,540,495562,75,14,45,42,91.000000000000000000,39,137
2021-06-13,178,39,37,54,48,255.68539325842696,499,486852,74,13,57,34,75.000000000000000000,42,136
2022-10-06,207,40,42,59,66,246.57971014492753,617,571825,79,20,62,46,80.000000000000000000,43,164
2020-03-21,189,41,31,55,62,279.66137566137564,535,520841,66,20,57,46,79.000000000000000000,48,141
2022-11-23,193,24,41,71,57,261.4818652849741,612,523556,89,16,59,29,74.000000000000000000,28,165
2021-05-18,174,40,31,49,54,263.58045977011494,505,503352,67,19,56,32,78.000000000000000000,38,136
2020-12-09,214,42,26,84,62,252.46728971962617,633,585440,89,21,57,47,80.000000000000000000,44,170
2020-08-07,179,35,37,49,58,255.34078212290504,531,497926,74,16,56,33,64.000000000000000000,31,148
2020-02-09,185,32,43,50,60,253.94594594594594,554,509853,73,20,51,41,77.000000000000000000,34,151
2020-10-13,205,45,42,61,57,264.58048780487803,644,601796,80,24,70,31,79.000000000000000000,36,169
2020-04-14,173,36,47,44,46,262.1271676300578,494,512850,61,19,58,35,70.000000000000000000,50,123
2021-02-21,182,35,41,54,52,247.8131868131868,564,502926,73,13,54,42,84.000000000000000000,36,146
2020-11-27,184,27,41,55,61,245.57608695652175,553,493884,85,11,52,36,74.000000000000000000,37,147
2023-09-12,168,33,32,48,55,256.7202380952381,473,478289,66,16,53,33,64.000000000000000000,28,140
